line_file,offset
images/0.png,0
images/-3.png,-3
images/3.png,3
images/-6.png,-6
images/1.png,1
images/6.png,6
images/7.png,7
images/5.png,5
images/4.png,4
images/1.png,1
images/5.png,5
images/-6.png,-6
images/1.png,1
images/2.png,2
images/-2.png,-2
images/-4.png,-4
images/-2.png,-2
images/-1.png,-1
images/-4.png,-4
images/4.png,4
images/-8.png,-8
images/3.png,3
images/0.png,0
images/0.png,0
images/-5.png,-5
images/1.png,1
images/0.png,0
images/6.png,6
images/0.png,0
images/-7.png,-7
images/4.png,4
images/-2.png,-2
images/-3.png,-3
images/-10.png,-10
images/8.png,8
images/2.png,2
images/-10.png,-10
images/0.png,0
images/-5.png,-5
images/1.png,1
images/0.png,0
images/-2.png,-2
images/0.png,0
images/-4.png,-4
images/10.png,10
images/-7.png,-7
images/-1.png,-1
images/10.png,10
images/-8.png,-8
images/5.png,5
images/0.png,0
images/0.png,0
images/-9.png,-9
images/4.png,4
images/3.png,3
images/9.png,9
images/3.png,3
images/-3.png,-3
images/7.png,7
images/-4.png,-4
images/-2.png,-2
images/0.png,0
images/-5.png,-5
images/8.png,8
images/-1.png,-1
images/-6.png,-6
images/-6.png,-6
images/-3.png,-3
images/-1.png,-1
images/2.png,2
images/-9.png,-9
images/0.png,0
images/6.png,6
images/1.png,1
images/-2.png,-2
images/-1.png,-1
images/2.png,2
images/5.png,5
images/2.png,2
images/-5.png,-5
images/6.png,6
images/9.png,9
images/2.png,2
images/-1.png,-1
